s_no,flight_number,date,from,to,aircraft,flight_time,std,atd,sta,,ata,.1,.2
, ,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),01:54:00,06:00:00,06:20:00,08:10:00,,Landed 8:14 AM,  , 
, ,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),01:54:00,06:00:00,06:07:00,08:10:00,,Landed 8:01 AM,  , 
, ,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),02:04:00,06:00:00,06:20:00,08:10:00,,Landed 8:23 AM,  , 
, ,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),01:50:00,06:00:00,07:30:00,08:10:00,,Landed 9:20 AM,  , 
, ,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),01:50:00,06:00:00,06:11:00,08:10:00,,Landed 8:01 AM,  , 
, ,2025-07-20,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),01:48:00,05:30:00,05:50:00,07:40:00,,Landed 7:39 AM,  , 
, ,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),01:54:00,06:00:00,06:15:00,08:10:00,,Landed 8:09 AM,  , 
, ,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),01:09:00,06:00:00,06:17:00,07:25:00,,Landed 7:26 AM,  , 
, ,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),01:08:00,06:00:00,06:18:00,07:25:00,,Landed 7:27 AM,  , 
, ,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:05:00,06:00:00,06:26:00,07:25:00,,Landed 7:31 AM,  , 
, ,2025-07-22,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQF),01:06:00,06:00:00,06:39:00,07:25:00,,Landed 7:45 AM,  , 
, ,2025-07-21,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNU),01:07:00,06:00:00,06:22:00,07:25:00,,Landed 7:29 AM,  , 
, ,2025-07-20,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:11:00,06:00:00,06:11:00,07:25:00,,Landed 7:23 AM,  , 
, ,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQB),01:13:00,06:00:00,06:20:00,07:25:00,,Landed 7:33 AM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),A21N (VT-NCB),01:42:00,06:00:00,06:08:00,07:55:00,,Landed 7:49 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),01:47:00,06:00:00,06:15:00,07:55:00,,Landed 8:02 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:52:00,06:00:00,06:22:00,07:55:00,,Landed 8:14 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),01:37:00,06:00:00,06:08:00,07:55:00,,Landed 7:45 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),01:36:00,06:00:00,06:10:00,07:55:00,,Landed 7:45 AM,  , 
, ,2025-07-20,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:40:00,06:00:00,06:02:00,07:55:00,,Landed 7:42 AM,  , 
, ,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCG),01:45:00,06:00:00,06:07:00,07:55:00,,Landed 7:53 AM,  , 
, ,2025-07-25,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAP),02:12:00,06:05:00,06:25:00,08:45:00,,Landed 8:37 AM,  , 
, ,2025-07-24,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAH),02:23:00,06:05:00,06:23:00,08:45:00,,Landed 8:46 AM,  , 
, ,2025-07-23,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAG),02:23:00,06:05:00,06:30:00,08:45:00,,Landed 8:52 AM,  , 
