flight_date,flight_number,from_full,to_full,from_airport,to_airport,aircraft,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,scheduled_hour,day_of_week,next_flight_dep,next_flight_delay,turnaround_mins,cascade_score
2025-07-20, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,A20N (A4O-OVG),2025-07-20 07:35:00,2025-07-20 08:00:00,2025-07-20 08:35:00,2025-07-20 08:30:00,25.0,-5.0,7,Sunday,2025-07-21 06:48:00,23.0,1338.0,0.0
2025-07-21, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,A20N (A4O-OVG),2025-07-21 06:25:00,2025-07-21 06:48:00,2025-07-21 07:25:00,2025-07-21 07:14:00,23.0,-11.0,6,Monday,2025-07-23 06:47:00,22.0,2853.0,0.0
2025-07-23, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,A20N (A4O-OVG),2025-07-23 06:25:00,2025-07-23 06:47:00,2025-07-23 07:25:00,2025-07-23 07:13:00,22.0,-12.0,6,Wednesday,2025-07-25 06:33:00,8.0,2840.0,0.0
2025-07-25, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,A20N (A4O-OVG),2025-07-25 06:25:00,2025-07-25 06:33:00,2025-07-25 07:25:00,2025-07-25 07:05:00,8.0,-20.0,6,Friday,,,,0.0
2025-07-19, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,A20N (A4O-OVI),2025-07-19 06:25:00,2025-07-19 06:55:00,2025-07-19 07:25:00,2025-07-19 07:25:00,30.0,0.0,6,Saturday,2025-07-22 06:45:00,20.0,4280.0,0.0
2025-07-22, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,A20N (A4O-OVI),2025-07-22 06:25:00,2025-07-22 06:45:00,2025-07-22 07:25:00,2025-07-22 07:15:00,20.0,-10.0,6,Tuesday,,,,0.0
2025-07-19, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,A20N (VT-ATV),2025-07-19 08:45:00,2025-07-19 08:58:00,2025-07-19 10:55:00,2025-07-19 10:39:00,13.0,-16.0,8,Saturday,2025-07-22 07:58:00,18.0,4159.0,0.0
2025-07-22, ,Mumbai (BOM),Bengaluru (BLR),BOM,BLR,A20N (VT-ATV),2025-07-22 07:40:00,2025-07-22 07:58:00,2025-07-22 09:45:00,2025-07-22 09:28:00,18.0,-17.0,7,Tuesday,2025-07-23 07:11:00,11.0,1303.0,0.0
2025-07-23, ,Mumbai (BOM),Hyderabad (HYD),BOM,HYD,A20N (VT-ATV),2025-07-23 07:00:00,2025-07-23 07:11:00,2025-07-23 08:40:00,2025-07-23 08:19:00,11.0,-21.0,7,Wednesday,,,,0.0
2025-07-21, ,Mumbai (BOM),Bhuj (BHJ),BOM,BHJ,A20N (VT-CIG),2025-07-21 06:50:00,2025-07-21 07:05:00,2025-07-21 08:05:00,2025-07-21 08:07:00,15.0,2.0,6,Monday,,,,0.0
2025-07-21, ,Mumbai (BOM),Chandigarh (IXC),BOM,IXC,A20N (VT-EXK),2025-07-21 06:00:00,2025-07-21 06:11:00,2025-07-21 08:10:00,2025-07-21 08:01:00,11.0,-9.0,6,Monday,,,,0.0
2025-07-19, ,Mumbai (BOM),Chandigarh (IXC),BOM,IXC,A20N (VT-EXL),2025-07-19 06:00:00,2025-07-19 06:15:00,2025-07-19 08:10:00,2025-07-19 08:09:00,15.0,-1.0,6,Saturday,2025-07-20 07:01:00,11.0,1372.0,0.0
2025-07-20, ,Mumbai (BOM),Bhuj (BHJ),BOM,BHJ,A20N (VT-EXL),2025-07-20 06:50:00,2025-07-20 07:01:00,2025-07-20 08:05:00,2025-07-20 08:02:00,11.0,-3.0,6,Sunday,,,,0.0
2025-07-20, ,Mumbai (BOM),Chandigarh (IXC),BOM,IXC,A20N (VT-EXM),2025-07-20 05:30:00,2025-07-20 05:50:00,2025-07-20 07:40:00,2025-07-20 07:39:00,20.0,-1.0,5,Sunday,,,,0.0
2025-07-19, ,Mumbai (BOM),Cochin (COK),BOM,COK,A20N (VT-EXN),2025-07-19 07:25:00,2025-07-19 07:44:00,2025-07-19 09:30:00,2025-07-19 09:16:00,19.0,-14.0,7,Saturday,2025-07-21 07:43:00,18.0,2787.0,0.0
2025-07-21, ,Mumbai (BOM),Cochin (COK),BOM,COK,A20N (VT-EXN),2025-07-21 07:25:00,2025-07-21 07:43:00,2025-07-21 09:30:00,2025-07-21 09:26:00,18.0,-4.0,7,Monday,2025-07-22 07:44:00,19.0,1338.0,0.0
2025-07-22, ,Mumbai (BOM),Cochin (COK),BOM,COK,A20N (VT-EXN),2025-07-22 07:25:00,2025-07-22 07:44:00,2025-07-22 09:30:00,2025-07-22 09:20:00,19.0,-10.0,7,Tuesday,2025-07-24 07:56:00,11.0,2796.0,0.0
2025-07-24, ,Mumbai (BOM),Bangkok (BKK),BOM,BKK,A20N (VT-EXN),2025-07-24 07:45:00,2025-07-24 07:56:00,2025-07-24 13:35:00,2025-07-24 13:36:00,11.0,1.0,7,Thursday,2025-07-25 07:38:00,13.0,1082.0,0.0
2025-07-25, ,Mumbai (BOM),Cochin (COK),BOM,COK,A20N (VT-EXN),2025-07-25 07:25:00,2025-07-25 07:38:00,2025-07-25 09:30:00,2025-07-25 09:16:00,13.0,-14.0,7,Friday,,,,0.0
2025-07-24, ,Mumbai (BOM),Cochin (COK),BOM,COK,A20N (VT-EXP),2025-07-24 07:25:00,2025-07-24 07:44:00,2025-07-24 09:30:00,2025-07-24 09:19:00,19.0,-11.0,7,Thursday,,,,0.0
2025-07-19, ,Mumbai (BOM),Bengaluru (BLR),BOM,BLR,A20N (VT-EXQ),2025-07-19 06:35:00,2025-07-19 06:37:00,2025-07-19 08:30:00,2025-07-19 07:54:00,2.0,-36.0,6,Saturday,,,,0.0
2025-07-19, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,A20N (VT-EXR),2025-07-19 07:45:00,2025-07-19 07:56:00,2025-07-19 09:55:00,2025-07-19 09:42:00,11.0,-13.0,7,Saturday,,,,0.0
2025-07-25, ,Mumbai (BOM),Chennai (MAA),BOM,MAA,A20N (VT-EXT),2025-07-25 06:50:00,2025-07-25 07:04:00,2025-07-25 08:55:00,2025-07-25 08:50:00,14.0,-5.0,6,Friday,,,,0.0
2025-07-22, ,Mumbai (BOM),Chennai (MAA),BOM,MAA,A20N (VT-EXU),2025-07-22 06:50:00,2025-07-22 06:59:00,2025-07-22 08:55:00,2025-07-22 08:37:00,9.0,-18.0,6,Tuesday,2025-07-23 08:07:00,22.0,1410.0,0.0
2025-07-23, ,Mumbai (BOM),Bangkok (BKK),BOM,BKK,A20N (VT-EXU),2025-07-23 07:45:00,2025-07-23 08:07:00,2025-07-23 13:35:00,2025-07-23 14:07:00,22.0,32.0,7,Wednesday,2025-07-25 06:20:00,20.0,2413.0,0.0
2025-07-25, ,Mumbai (BOM),Chandigarh (IXC),BOM,IXC,A20N (VT-EXU),2025-07-25 06:00:00,2025-07-25 06:20:00,2025-07-25 08:10:00,2025-07-25 08:14:00,20.0,4.0,6,Friday,,,,0.0
2025-07-20, ,Mumbai (BOM),Hyderabad (HYD),BOM,HYD,A20N (VT-EXV),2025-07-20 06:00:00,2025-07-20 06:11:00,2025-07-20 07:25:00,2025-07-20 07:23:00,11.0,-2.0,6,Sunday,2025-07-21 07:09:00,19.0,1426.0,0.0
2025-07-21, ,Mumbai (BOM),Chennai (MAA),BOM,MAA,A20N (VT-EXV),2025-07-21 06:50:00,2025-07-21 07:09:00,2025-07-21 08:55:00,2025-07-21 08:52:00,19.0,-3.0,6,Monday,2025-07-23 06:26:00,26.0,2734.0,0.0
2025-07-23, ,Mumbai (BOM),Hyderabad (HYD),BOM,HYD,A20N (VT-EXV),2025-07-23 06:00:00,2025-07-23 06:26:00,2025-07-23 07:25:00,2025-07-23 07:31:00,26.0,6.0,6,Wednesday,,,,0.0
2025-07-20, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,A20N (VT-IIE),2025-07-20 08:55:00,2025-07-20 09:01:00,2025-07-20 10:15:00,2025-07-20 09:54:00,6.0,-21.0,8,Sunday,2025-07-23 06:35:00,15.0,4121.0,0.0
2025-07-23, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,A20N (VT-IIE),2025-07-23 06:20:00,2025-07-23 06:35:00,2025-07-23 07:40:00,2025-07-23 07:23:00,15.0,-17.0,6,Wednesday,,,,0.0
2025-07-21, ,Mumbai (BOM),Siliguri (IXB),BOM,IXB,A20N (VT-IIH),2025-07-21 07:50:00,2025-07-21 08:37:00,2025-07-21 10:55:00,2025-07-21 11:14:00,47.0,19.0,7,Monday,2025-07-22 07:23:00,-2.0,1209.0,0.0
2025-07-22, ,Mumbai (BOM),Bhopal (BHO),BOM,BHO,A20N (VT-IIH),2025-07-22 07:25:00,2025-07-22 07:23:00,2025-07-22 09:00:00,2025-07-22 08:30:00,-2.0,-30.0,7,Tuesday,2025-07-23 07:37:00,2.0,1387.0,0.0
2025-07-23, ,Mumbai (BOM),Coimbatore (CJB),BOM,CJB,A20N (VT-IIH),2025-07-23 07:35:00,2025-07-23 07:37:00,2025-07-23 09:30:00,2025-07-23 09:04:00,2.0,-26.0,7,Wednesday,2025-07-24 07:25:00,0.0,1341.0,0.0
